Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,Location,Origin,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,Total Affected,Insured Damages ('000 US$),Total Damages ('000 US$)
FL-2008-000089,Natural,Hydrological,Flood,Flash flood,,"Lakhimpu, Dhemaji, Sonitpur districts (Assam province), West Bengal, Orissa, Bihar, Gujarat, Goa, Haryana, Kerala, Karnataka, Maharastra, Madhya Pradesh, Punjab, Rajasthan, Uttar Pradesh, Tamil Nadu, Arunachal Pradesh, Uttarakhand, Jharkhand provinces",Monsoonal rain,350600,Km2,25.18,91.54,,2008,6,11,2008,7,21,1063,,7900000,7900000,,123000
,Natural,Hydrological,Flood,Riverine flood,,"Orissa, Uttar Pradesh, Himachal Pradesh provinces",Monsoonal rain,,Km2,,,,2008,9,14,2008,9,21,173,,,2400000,,
FL-2008-000145,Natural,Hydrological,Flood,Riverine flood,,"Muzaffarpur, Supaul, Patna, Katihar, Nalanda, Araria, Pashchim Champaran, Sheikhpura, Saharsa, Purnia, Saran, Begusarai, Bhagalpur, Madhepura, Vaishali, Khagaria districts (Bihar province), Assam province","River Kosi in Nepal discharged huge levels of water, monsoonal rains",80590,Km2,22.044,94.55,,2008,8,30,2008,9,8,47,,2600000,2600000,,20000
,Natural,Meteorological,Storm,Convective storm,,Uttar Pradesh province,,110,Kph,,,,2008,5,14,2008,5,14,111,50,,50,,25000
TC-2008-000237,Natural,Hydrological,Flood,Flash flood,,"Thiruvallur, Thoothukudi, Villupuram, Ramanathapuram, Tirunelveli Kattabo, Pudukkottai, Kanniyakumari, Nagapattinam, Cuddalore, Chennai districts (Tamil Nadu province), Puducherry, Karaikal districts (Puducherry province)",Tropical cyclone Nisha,,Km2,,,,2008,11,27,2008,12,4,54,,803740,803740,,
,Natural,Hydrological,Flood,Riverine flood,,"Assam, Bihar, Gujarat, Goa, Haryana, Jharkhand, Kerala, Karnataka, Maharashtra, Madhya Pradesh, Punjab, Orissa, Rajasthan, Uttarakhand, Uttar Pradesh, Tamil Nadu, West Bengal provinces",,,Km2,,,,2008,7,5,2008,7,14,,,50000,50000,,
,Natural,Hydrological,Flood,Riverine flood,,"Khammam, West Godavari, Krishna, Guntur districts (Andhra Pradesh province)",Heavy monsoonal rain,75490,Km2,16.65,81.38,,2008,9,5,2008,9,11,74,,,,,
,Natural,Hydrological,Flood,Riverine flood,,"Lakhimpur, Jorhat districts (Assam province), Uttar Pradesh, Bihar provinces",Monsoonal rain,283800,Km2,27.5,89.79,,2008,7,20,2008,8,8,142,,225000,225000,,
LS-2008-000007,Natural,Hydrological,Landslide,Landslide,,Administrative unit not available districts (Jammu and Kashmir province),Heavy snow fall,,,,,,2008,2,8,2008,2,8,37,,,,,
,Natural,Meteorological,Extreme temperature ,Cold wave,,"Uttar Pradesh, Bihar, Haryana, Punjab, Himachal Pradesh, Uttarakhand, Jammu and Kashmir provinces",,4,Â°C,,,,2008,12,,2009,1,,70,,,,,
TC-2009-000105,Natural,Meteorological,Storm,Tropical cyclone,"Cyclone ""Aila""","Sagar, Namkhana, Kakdwip, Pathar Pratima, Canning, Basanti, Mathurapur, Kultali villages (South 24 Parganas district, West Bengal province), Kolkata, North 24 Parganas, Haora, Hugli, Darjiling districts (West Bengal province)",,110,Kph,,,,2009,5,25,2009,5,25,96,,5100000,5100000,,
,Natural,Meteorological,Storm,Convective storm,,Kendrapara district (Orissa province),,,Kph,,,,2009,3,31,2009,3,31,15,50,5000,9050,,
,Natural,Hydrological,Flood,,,"Rajasthan, Uttar Pradesh, Madhya Pradesh, Jammu and Kashmir provinces",Heavy rains,,Km2,,,,2007,2,11,2007,2,16,40,8,,8,,
,Natural,Meteorological,Extreme temperature ,Heat wave,,"Uttar Pradesh, Rajasthan, Punjab, Delhi provinces",,45,Â°C,,,,2007,4,,2007,6,,72,,,,,
,Natural,Hydrological,Flood,,,"Tamil Nadu, Karnataka provinces",Heavy rain,144300,Km2,10.76,78.72,,2008,3,20,2008,3,28,37,,10278,10278,,2000
,Natural,Meteorological,Extreme temperature ,Heat wave,,"Orissa, West Bengal, Bihar, Uttar Pradesh, Jharkhand, Andhra Pradesh provinces",,48,Â°C,,,,2009,4,14,2009,6,26,120,25,,25,,
,Natural,Hydrological,Flood,Riverine flood,,"Ooty, Coonoor cities (Nilgiris district, Tamil Nadu)",Heavy rains,35730,Km2,11.47,77.85,,2009,11,3,2009,11,8,70,8,,8,,64000
,Natural,Hydrological,Flood,Riverine flood,,Jainta Hills district (Meghalaya province),Torrential rain,,Km2,,,,2009,10,9,2009,10,9,20,,,,,
,Natural,Meteorological,Storm,Convective storm,,Uttar Pradesh province,,,Kph,,,,2009,5,11,2009,5,11,32,23,,23,,
,Natural,Meteorological,Storm,Convective storm,,Uttar Pradesh province,,,Kph,,,,2009,6,7,2009,6,7,20,,,,,
,Natural,Meteorological,Storm,Convective storm,,"Bihar, Jharkhand provinces",,,Kph,,,,2009,6,28,2009,6,29,35,12,,12,,
,Natural,Hydrological,Flood,Flash flood,,Delhi province,Torrential rain,,Km2,,,,2009,7,29,2009,7,29,11,,,,,
FL-2009-000194,Natural,Hydrological,Flood,Riverine flood,,"Bihar, Orissa, West Bengal, Assam, Kerala, Gujarat, Karnataka provinces",Monsoon rain,,Km2,,,,2009,7,,2009,9,,992,,1886000,1886000,,220000
FL-2009-000217,Natural,Hydrological,Flood,Riverine flood,,"Belgaum, Gulbarga, Bijapur, Raichur, Dharwad, Bagalkot, Bellary, Koppal, Haveri, Bidar, Gadag, Davanegere, Uttar Kannand, Dakshin Kannad districts (Karnataka province), Kurnool, Mahbubnagar, Karimnagar, Anantapur, Krishna, Cuddapah, Guntur, Khammam, Nalgonda districts (Andhra Pradesh province), Maharashtra province",Torrential rains,309700,Km2,15.71,78.23,,2009,9,25,2009,10,12,355,,4100000,4100000,51000,2150000
,Natural,Hydrological,Flood,Riverine flood,,"Darbhanga, Purnia, Sitamarhi, Saharsa, Madhubani districts (Bihar province)",Heavy rains,,Km2,,,,2009,8,26,2009,8,28,52,,,,,
,Natural,Hydrological,Landslide,Landslide,,Pithoragarh district (Uttarakhand province),Torrential rain,,,,,,2009,8,8,2009,8,8,45,,,,,
,Natural,Hydrological,Landslide,Landslide,,"Lal, Bahadur, Shastri, Nagar slums (Mumbai Suburban district, Maharashtra province)",,,,,,,2009,9,3,2009,9,3,10,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,Cyclone Phyan,"Gujarat, Madhya Pradesh, Maharashtra provinces",,,Kph,,,,2009,11,11,2009,11,12,20,,,,,300000
CW-2010-000013,Natural,Meteorological,Extreme temperature ,Cold wave,,"Srinagar city ('72808' district, '40424' Jammu and Kashmir province), Uttar Pradesh, Himachal Pradesh, Delhi, Bihar provinces",,-9,Â°C,,,,2010,1,2,2010,1,13,100,,,,,
,Natural,Biological,Epidemic,Viral disease,Japanese Encephalitis and Acute Encephalitis Syndrome,Uttar Pradesh,,,Vaccinated,,,,2009,1,,2009,10,,311,,1521,1521,,
